Vivado Simulator 2020.1
Time resolution is 1 ps
Time=6050000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=3 | rst=0
Time=6150000 | PC=84 | Inst=fe0004e3 | LEDs=1 | switches=3 | rst=0
Time=6250000 | PC=60 | Inst=00c32023 | LEDs=1 | switches=3 | rst=0
Time=6350000 | PC=64 | Inst=00060c63 | LEDs=0 | switches=3 | rst=0
Time=6450000 | PC=88 | Inst=00032023 | LEDs=0 | switches=3 | rst=0
Time=6550000 | PC=92 | Inst=00012603 | LEDs=0 | switches=3 | rst=0
Time=6650000 | PC=96 | Inst=00412083 | LEDs=0 | switches=3 | rst=0
Time=6750000 | PC=100 | Inst=00810113 | LEDs=0 | switches=3 | rst=0
Time=6850000 | PC=104 | Inst=00008067 | LEDs=0 | switches=3 | rst=0
Time=6950000 | PC=40 | Inst=fe0006e3 | LEDs=0 | switches=3 | rst=0
Time=7050000 | PC=20 | Inst=00032023 | LEDs=0 | switches=3 | rst=0
Time=7150000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=3 | rst=0
Time=7250000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=3 | rst=0
Time=7350000 | PC=32 | Inst=00058533 | LEDs=0 | switches=3 | rst=0
Time=7450000 | PC=36 | Inst=008000ef | LEDs=0 | switches=3 | rst=0
Time=7550000 | PC=44 | Inst=ff810113 | LEDs=0 | switches=3 | rst=0
Time=7650000 | PC=48 | Inst=00112223 | LEDs=0 | switches=3 | rst=0
Time=7750000 | PC=52 | Inst=00c12023 | LEDs=0 | switches=3 | rst=0
Time=7850000 | PC=56 | Inst=00050633 | LEDs=0 | switches=3 | rst=0
Time=7950000 | PC=60 | Inst=00c32023 | LEDs=0 | switches=3 | rst=0
Time=8050000 | PC=64 | Inst=00060c63 | LEDs=3 | switches=3 | rst=0
Time=8150000 | PC=68 | Inst=fff60613 | LEDs=3 | switches=3 | rst=0
Time=8250000 | PC=72 | Inst=00300693 | LEDs=3 | switches=3 | rst=0
Time=8350000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=3 | rst=0
Time=8450000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=3 | rst=0
Time=8550000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=3 | rst=0
Time=8650000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=3 | rst=0
Time=8750000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=3 | rst=0
Time=8850000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=3 | rst=0
Time=8950000 | PC=84 | Inst=fe0004e3 | LEDs=3 | switches=3 | rst=0
Time=9050000 | PC=60 | Inst=00c32023 | LEDs=3 | switches=3 | rst=0
Time=9150000 | PC=64 | Inst=00060c63 | LEDs=2 | switches=3 | rst=0
Time=9250000 | PC=68 | Inst=fff60613 | LEDs=2 | switches=3 | rst=0
Time=9350000 | PC=72 | Inst=00300693 | LEDs=2 | switches=3 | rst=0
Time=9450000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=3 | rst=0
Time=9550000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=3 | rst=0
Time=9650000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=3 | rst=0
Time=9750000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=3 | rst=0
Time=9850000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=3 | rst=0
Time=9950000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=3 | rst=0
Time=10050000 | PC=84 | Inst=fe0004e3 | LEDs=2 | switches=3 | rst=0
Time=10150000 | PC=60 | Inst=00c32023 | LEDs=2 | switches=3 | rst=0
Time=10250000 | PC=64 | Inst=00060c63 | LEDs=1 | switches=3 | rst=0
Time=10350000 | PC=68 | Inst=fff60613 | LEDs=1 | switches=3 | rst=0
Time=10450000 | PC=72 | Inst=00300693 | LEDs=1 | switches=3 | rst=0
Time=10550000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=3 | rst=0
Time=10650000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=3 | rst=0
Time=10750000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=3 | rst=0
Time=10850000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=3 | rst=0
Time=10950000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=3 | rst=0
Time=11050000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=3 | rst=0
Time=11150000 | PC=84 | Inst=fe0004e3 | LEDs=1 | switches=3 | rst=0
Time=11250000 | PC=60 | Inst=00c32023 | LEDs=1 | switches=3 | rst=0
Time=11350000 | PC=64 | Inst=00060c63 | LEDs=0 | switches=3 | rst=0
Time=11450000 | PC=88 | Inst=00032023 | LEDs=0 | switches=3 | rst=0
Time=11550000 | PC=92 | Inst=00012603 | LEDs=0 | switches=3 | rst=0
Time=11650000 | PC=96 | Inst=00412083 | LEDs=0 | switches=3 | rst=0
Time=11750000 | PC=100 | Inst=00810113 | LEDs=0 | switches=3 | rst=0
Time=11850000 | PC=104 | Inst=00008067 | LEDs=0 | switches=3 | rst=0
Time=11950000 | PC=40 | Inst=fe0006e3 | LEDs=0 | switches=3 | rst=0
Time=12050000 | PC=20 | Inst=00032023 | LEDs=0 | switches=3 | rst=0
Time=12150000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=3 | rst=0
Time=12200000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=12250000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=12350000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=12450000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=12550000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=12650000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=12750000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=12850000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=12950000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=13050000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=13150000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=13250000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=13350000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=13450000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=13550000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=13650000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=13750000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=13850000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
Time=13950000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=0 | rst=0
Time=14050000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=0 | rst=0
